,Unnamed: 0,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
1136,2593,2,Lpp WT,0.3698099999999999,0.35043,117.881,426.128,8.0,8.688939999999999,1.0,w1_f12_c4,,0
1137,2594,3,Lpp WT,0.394675,0.302292,136.17600000000002,487.507,7.0,5.326890000000001,1.0,w1_f12_c4,,0
1138,2595,4,Lpp WT,0.51172,0.0880011,205.452,741.87,3.0,1.21383,1.0,w1_f12_c4,,0
1139,2596,5,Lpp WT,0.520105,0.124566,658.0980000000001,1974.57,5.0,2.7595,1.0,w1_f12_c4,,0
1140,2597,6,Lpp WT,0.512918,0.143832,779.2310000000001,2135.76,2.0,1.90371,1.0,w1_f12_c4,,0
1141,2598,7,Lpp WT,0.5186,0.1027349999999999,798.404,2254.13,4.0,2.10456,1.0,w1_f12_c4,,0
1142,2599,8,Lpp WT,0.5150359999999999,0.134037,805.5210000000001,2361.22,2.0,2.17442,1.0,w1_f12_c4,,0
1143,2600,9,Lpp WT,0.516604,0.133364,809.211,2410.41,3.0,2.95162,1.0,w1_f12_c4,,0
1144,2601,10,Lpp WT,0.516075,0.0931099,756.82,2339.79,3.0,3.03021,1.0,w1_f12_c4,,0
1145,2602,11,Lpp WT,0.5116310000000001,0.0811235,701.3689999999999,2273.39,3.0,2.23555,1.0,w1_f12_c4,,0
1146,2603,12,Lpp WT,0.515596,0.0877812999999999,701.7719999999999,2289.99,5.0,2.384,1.0,w1_f12_c4,,0
1147,2604,13,Lpp WT,0.512121,0.0821356999999999,718.79,2301.96,3.0,2.7857,1.0,w1_f12_c4,,0
1148,2605,14,Lpp WT,0.5107229999999999,0.0771396,704.334,2331.43,7.0,1.9823,1.0,w1_f12_c4,,0
1149,2606,15,Lpp WT,0.509703,0.0907545,711.046,2374.57,2.0,2.13075,1.0,w1_f12_c4,,0
1150,2607,16,Lpp WT,0.509907,0.0713982,671.579,2436.29,1.0,0.751004,1.0,w1_f12_c4,,0
1151,2608,17,Lpp WT,0.509379,0.0874804,688.893,2454.34,2.0,1.43215,1.0,w1_f12_c4,,0
1152,2609,0,Lpp WT,0.3929829999999999,0.356761,118.332,298.389,13.0,14.3127,1.0,w1_f12_c5,,0
1153,2610,1,Lpp WT,0.41589,0.275379,118.037,517.375,3.0,14.0333,1.0,w1_f12_c5,,0
1154,2611,2,Lpp WT,0.458147,0.202441,118.508,658.3510000000001,4.0,6.98608,1.0,w1_f12_c5,,0
1155,2612,3,Lpp WT,0.462711,0.181881,119.545,835.432,5.0,9.98136,1.0,w1_f12_c5,,0
1156,2613,4,Lpp WT,0.4634609999999999,0.185248,120.402,1104.93,3.0,6.89875,1.0,w1_f12_c5,,0
1157,2614,5,Lpp WT,0.4348399999999999,0.229893,122.713,1173.89,6.0,10.2608,1.0,w1_f12_c5,,0
1158,2615,6,Lpp WT,0.468477,0.160168,122.883,1288.18,5.0,8.96838,1.0,w1_f12_c5,,0
1159,2616,7,Lpp WT,0.462285,0.1943,122.831,1424.81,3.0,9.70192,1.0,w1_f12_c5,,0
1160,2617,8,Lpp WT,0.441417,0.2348969999999999,122.879,1257.86,8.0,10.776,1.0,w1_f12_c5,,0
1161,2618,9,Lpp WT,0.450139,0.215236,125.129,1369.51,7.0,9.49234,1.0,w1_f12_c5,,0
1162,2619,10,Lpp WT,0.47053,0.212945,254.053,1401.92,8.0,11.3087,1.0,w1_f12_c5,,0
1163,2620,11,Lpp WT,0.459093,0.200408,126.961,1401.5,7.0,16.2688,1.0,w1_f12_c5,,0
1164,2621,12,Lpp WT,0.432812,0.2513579999999999,127.08,1553.0,7.0,16.4348,1.0,w1_f12_c5,,0
1165,2622,13,Lpp WT,0.444037,0.222683,129.722,1669.9,12.0,16.0854,1.0,w1_f12_c5,,0
1166,2623,14,Lpp WT,0.459242,0.212276,133.08700000000002,1763.63,7.0,16.4435,1.0,w1_f12_c5,,0
1167,2624,15,Lpp WT,0.466964,0.214309,137.35399999999998,1807.8,12.0,19.8667,1.0,w1_f12_c5,,0
1168,2625,16,Lpp WT,0.479936,0.170336,139.38,1767.33,2.0,19.9103,1.0,w1_f12_c5,,0
1169,2626,17,Lpp WT,0.455733,0.243411,139.12,1870.59,9.0,21.0281,1.0,w1_f12_c5,,0
1170,2627,0,Lpp WT,0.418188,0.30333,139.365,235.904,3.0,3.59783,1.0,w1_f12_c6,,0
1171,2628,1,Lpp WT,0.4509,0.239952,171.643,303.66,4.0,7.36158,1.0,w1_f12_c6,,0
1172,2629,2,Lpp WT,0.466641,0.170601,199.215,435.621,2.0,4.40996,1.0,w1_f12_c6,,0
1173,2630,3,Lpp WT,0.474155,0.169594,196.621,496.747,2.0,4.182919999999999,1.0,w1_f12_c6,,0
1174,2631,4,Lpp WT,0.476633,0.164367,189.925,525.866,2.0,3.9646,1.0,w1_f12_c6,,0
1175,2632,5,Lpp WT,0.453067,0.199763,139.17,489.84,0.0,0.0,0.0,w1_f12_c6,,0
1176,2633,6,Lpp WT,0.464653,0.17492,136.798,480.795,0.0,0.0,0.0,w1_f12_c6,,0
1177,2634,7,Lpp WT,0.465618,0.184072,176.09599999999998,498.377,0.0,0.0,0.0,w1_f12_c6,,0
1178,2635,8,Lpp WT,0.446471,0.211613,179.75,498.867,0.0,0.0,0.0,w1_f12_c6,,0
1179,2636,9,Lpp WT,0.4732659999999999,0.201652,176.173,503.724,1.0,0.87326,1.0,w1_f12_c6,,0
1180,2637,10,Lpp WT,0.468055,0.191617,165.84,513.2180000000001,1.0,0.8208639999999999,1.0,w1_f12_c6,,0
1181,2638,11,Lpp WT,0.449176,0.242695,177.67700000000002,522.986,3.0,1.91244,1.0,w1_f12_c6,,0
1182,2639,12,Lpp WT,0.459327,0.2311949999999999,176.83599999999998,533.053,1.0,1.24876,1.0,w1_f12_c6,,0
1183,2640,13,Lpp WT,0.4369,0.286821,167.519,496.1230000000001,1.0,2.82063,1.0,w1_f12_c6,,0
1184,2641,14,Lpp WT,0.449117,0.263478,170.047,501.474,5.0,1.69412,1.0,w1_f12_c6,,0
1185,2642,15,Lpp WT,0.466282,0.233031,169.53099999999998,516.682,0.0,0.0,0.0,w1_f12_c6,,0
1186,2643,16,Lpp WT,0.468419,0.217409,174.253,502.968,3.0,1.26623,1.0,w1_f12_c6,,0
1187,2644,17,Lpp WT,0.4475729999999999,0.276048,168.06,486.41,11.0,12.8282,1.0,w1_f12_c6,,0
1188,2645,0,Lpp WT,0.457265,0.186948,117.859,231.609,6.0,17.7708,1.0,w1_f12_c7,,0
1189,2646,1,Lpp WT,0.469117,0.147031,116.069,399.56,6.0,10.2259,1.0,w1_f12_c7,,0
1190,2647,2,Lpp WT,0.512047,0.101069,115.555,458.255,0.0,0.0,0.0,w1_f12_c7,,0
1191,2648,3,Lpp WT,0.504258,0.109231,119.681,579.4159999999999,1.0,1.48454,1.0,w1_f12_c7,,0
1192,2649,4,Lpp WT,0.492525,0.101681,121.305,607.941,2.0,4.68941,1.0,w1_f12_c7,,0
1193,2650,5,Lpp WT,0.454574,0.1763279999999999,153.346,696.8530000000001,5.0,10.4442,1.0,w1_f12_c7,,0
1194,2651,6,Lpp WT,0.449834,0.183516,158.092,2847.03,12.0,17.6311,1.0,w1_f12_c7,,0
1195,2652,7,Lpp WT,0.447289,0.2214239999999999,238.349,4511.94,9.0,18.6965,1.0,w1_f12_c7,,0
1196,2653,8,Lpp WT,0.465817,0.191884,298.224,4953.47,9.0,22.076,1.0,w1_f12_c7,,0
