Database Name	Opera_Phenix_1
Database Location	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	542866a6-6db8-4296-aaba-f38b4574b780
Plate Name	EP128-TMRM
Measurement	Measurement 1
Evaluation	Evaluation10

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Bacteria - Number of Objects	Bacteria - Bacteria Area [µm²] - Mean per Well	Tracked Cells - Number of Objects	Tracked Cells - Bacteria Area [µm²]- Sum per Cell  - Mean per Well	Tracked Cells - IF - Mean per Well	Tracked Cells - NI - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed Mean - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed StdDev - Mean per Well	Tracked Cells - red sdmean - Mean per Well	% IF cells	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Bacteria	
7	6	1	-3	186	707	0.969961283324	132	5.19517141902	0.689393939394	0.310606060606	224.990528772	165.570293371	0.655032560686	68.9393939394	4	0	-984.906	0	37	0	5	Rotenone	Lpp WT	
7	7	1	-3	157	651	0.901306599628	106	5.53538298451	0.72641509434	0.27358490566	228.810691907	172.004854576	0.659923970617	72.641509434	4	0	-985.217	0	37	0	5	TTFA	Lpp WT	
7	8	1	-3	132	717	0.844839594871	80	7.57187486903	0.8	0.2	226.413910831	162.967840699	0.639197585329	80	4	0	-985.406	0	37	0	5	Antimycin A	Lpp WT	
7	9	1	-3	128	814	0.931374408691	93	8.15202977069	0.827956989247	0.172043010753	227.329520289	168.180072245	0.67261125189	82.7956989247	4	0	-985.0329999999999	0	37	0	5	NaCN	Lpp WT	
7	10	1	-3	82	428	0.892420636612	48	7.95741734312	0.8125	0.1875	204.166556956	136.573621034	0.573995277461	81.25	4	0	-986.28	0	37	0	5	FCCP	Lpp WT	
7	11	1	-3	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-986.043	0	37	0	5			
8	3	1	-3	98	670	0.995782631074	62	10.7608768197	0.806451612903	0.193548387097	212.346329146	149.573543665	0.597589629895	80.6451612903	4	0	-985.12299999999993	0	37	0	5	NT	Lpp WT	
8	4	1	-3	140	625	0.960144655518	93	6.45258505052	0.838709677419	0.161290322581	225.160006343	174.264910442	0.678559736868	83.8709677419	4	0	-984.673	0	37	0	5	Oligomycin	Lpp WT	
8	5	1	-3	164	755	0.902420776276	99	6.88209783927	0.848484848485	0.151515151515	232.17339899	179.847907151	0.64582112702	84.8484848485	4	0	-984.51699999999994	0	37	0	5	DCCD	Lpp WT	
8	6	1	-3	103	537	0.991797631107	65	8.19377427546	0.830769230769	0.169230769231	217.560755319	153.98855197	0.615732283737	83.0769230769	4	0	-985	0	37	0	5	Rotenone	Lpp WT	
8	7	1	-3	97	556	0.906506315451	69	7.30460161436	0.782608695652	0.217391304348	215.938154989	151.193120096	0.625442825287	78.2608695652	4	0	-985	0	37	0	5	TTFA	Lpp WT	
8	8	1	-3	103	691	0.857069794226	72	8.22548927514	0.888888888889	0.111111111111	224.025364761	171.843972803	0.681449462922	88.8888888889	4	0	-985.093	0	37	0	5	Antimycin A	Lpp WT	
8	9	1	-3	136	648	0.983706615821	87	7.32691824198	0.724137931034	0.275862068966	209.725716613	139.682396435	0.588030220412	72.4137931034	4	0	-984.813	0	37	0	5	NaCN	Lpp WT	
8	10	1	-3	92	446	0.744530844993	60	5.53434594778	0.8	0.2	195.585201787	132.356599671	0.58096839593	80	4	0	-986.216	0	37	0	5	FCCP	Lpp WT	
8	11	1	-3	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-986.043	0	37	0	5			
3	3	1	-2	121	0	NaN	114	0	0	1	249.126075313	183.258030999	0.67232956349	0	4	0	-684.73	0	37	0	5	NT	NI	
3	4	1	-2	140	0	NaN	131	0	0	1	262.847486591	196.896209758	0.679738245591	0	4	0	-684.37299999999993	0	37	0	5	Oligomycin	NI	
3	5	1	-2	142	0	NaN	127	0	0	1	270.422816442	207.499783876	0.704136204355	0	4	0	-683.624	0	37	0	5	DCCD	NI	
3	6	1	-2	134	0	NaN	120	0	0	1	260.857032868	207.912529259	0.725947718002	0	4	0	-683.87	0	37	0	5	Rotenone	NI	
3	7	1	-2	141	0	NaN	130	0	0	1	243.124460847	167.760307994	0.621465721581	0	4	0	-684.74299999999994	0	37	0	5	TTFA	NI	
3	8	1	-2	137	0	NaN	121	0	0	1	244.923163525	169.31683595	0.603523748827	0	4	0	-684.624	0	37	0	5	Antimycin A	NI	
3	9	1	-2	94	0	NaN	89	0	0	1	259.930831782	198.514619057	0.676001910306	0	4	0	-684.043	0	37	0	5	NaCN	NI	
3	10	1	-2	94	0	NaN	84	0	0	1	285.083672808	230.7786932	0.713330247849	0	4	0	-684.4	0	37	0	5	FCCP	NI	
3	11	1	-2	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-682.18599999999992	0	37	0	5			
4	3	1	-2	106	0	NaN	94	0	0	1	244.660134574	171.824386724	0.641455887954	0	4	0	-684.793	0	37	0	5	NT	NI	
4	4	1	-2	118	0	NaN	103	0	0	1	248.399942327	177.302969503	0.649210523159	0	4	0	-684.044	0	37	0	5	Oligomycin	NI	
4	5	1	-2	137	0	NaN	120	0	0	1	261.616008945	202.848766439	0.710314678601	0	4	0	-683.39	0	37	0	5	DCCD	NI	
4	6	1	-2	119	0	NaN	104	0	0	1	245.939647387	187.827898593	0.674702388896	0	4	0	-683.92	0	37	0	5	Rotenone	NI	
4	7	1	-2	140	0	NaN	127	0	0	1	251.449051606	184.952692063	0.656672326135	0	4	0	-684.76	0	37	0	5	TTFA	NI	
4	8	1	-2	133	0	NaN	123	0	0	1	249.114186632	182.932865592	0.660519869024	0	4	0	-684.23	0	37	0	5	Antimycin A	NI	
